id,text,label
4745552305327306,【HPV疫苗供不应求？代表#建议免费为女性接种HPV疫苗#】凤凰两会对话人大代表杨蓉，她建议现在要加强对国产疫苗的有效宣传，让大部分女性接受接种国产HPV疫苗。同时，建议在全国范围内免费为适龄女性接种HPV疫苗，并按年龄段接种：9-45岁的女性接种二价疫苗；20-45岁女性接种四价疫苗；16-26岁女性接种...全文,HPV
4745800511129369,#建议免费为女性接种HPV疫苗##让她健康#建议免费为女性接种HPV疫苗，这是个好事儿。之前也有过新闻，像我们济南去年就已经开始了对适龄女孩免费接种HPV疫苗。广东、浙江、海南等省份也陆陆续续开展适龄女性疫苗免费接种工作。不过，目前来说还是供不应求，很多人想花钱打却打不到，约都约不上……...全文,HPV
4745780714017060,【代表#建议免费为女性接种HPV疫苗#：#HPV疫苗的保护期有多久#】目前，在我国可以接种的宫颈癌疫苗有二价、四价、九价三种。#不同年龄打疫苗效果差多少#？感染过HPV还能接种吗？疫苗使用禁忌是什么？接种后还需要筛查吗？↓,HPV
4745813409139224,#建议免费为女性接种HPV疫苗#这个真的很重要，希望能成真的,HPV
4745813408874794,#建议免费为女性接种HPV疫苗#举双手双脚支持可是要落实到每一位人民群众身上才行哇愿意自费还总抢不上的真的累了🥱🥱广州,HPV
4745813404943960,#建议免费为女性接种HPV疫苗#还没打上,HPV
4745813350156184,#建议免费为女性接种HPV疫苗#希望落实下来,HPV
4745813345437042,#建议免费为女性接种HPV疫苗#虽然还没确定，但是我先谢谢国家了,HPV
4745813324727631,#建议免费为女性接种HPV疫苗#首先，得有。一直都是供不应求，迫切需要的难道不是想办法增加产量吗？最郁闷的不是没钱接种，而是连预约都约不到哇,HPV
4745813320798190,#建议免费为女性接种HPV疫苗#我真的会谢谢,HPV
4745813282001000,hpv、九价疫苗要是男宝刚需疫苗，早免费八百年了吧咋可能2022了天价不说还一苗难求，需要女的人机大战跟黄牛抢苗冷知识，hpv疫苗是女的打了就有用，跟年龄本身没多大关系，有影响的主要是性生活及性生活开始的时间...全文,HPV
4745813273875989,#建议免费为女性接种HPV疫苗#花💰时候都抢不上，要是免费，我估计我是等不到了。,HPV
4745813266269115,#建议免费为女性接种HPV疫苗#这个苗真的太难预约到了😩,HPV
4745552305327306,【HPV疫苗供不应求？代表#建议免费为女性接种HPV疫苗#】凤凰两会对话人大代表杨蓉，她建议现在要加强对国产疫苗的有效宣传，让大部分女性接受接种国产HPV疫苗。同时，建议在全国范围内免费为适龄女性接种HPV疫苗，并按年龄段接种：9-45岁的女性接种二价疫苗；20-45岁女性接种四价疫苗；16-26岁女性接种...全文,HPV
4745759792564360,【代表#建议将国产HPV二价疫苗纳入免疫规划#，初一女生免费接种】全国人大代表、九三学社社员、浙江衢州市中医医院副院长陈玮在十三届全国人大五次会议上建议逐步将国产HPV（人乳头瘤病毒）二价疫苗纳入国家免疫规划，先在财政宽裕的省市试点，对符合接种条件的初一女生进行全面自愿免费接种。陈玮告诉...全文,HPV
4745800511129369,#建议免费为女性接种HPV疫苗##让她健康#建议免费为女性接种HPV疫苗，这是个好事儿。之前也有过新闻，像我们济南去年就已经开始了对适龄女孩免费接种HPV疫苗。广东、浙江、海南等省份也陆陆续续开展适龄女性疫苗免费接种工作。不过，目前来说还是供不应求，很多人想花钱打却打不到，约都约不上……...全文,HPV
4745813416480699,#建议免费为女性接种HPV疫苗#就算暂时不免费也行，先把量给备足了，有些类有钱也打不到啊,HPV
4745813412022341,#建议免费为女性接种HPV疫苗#排了两年没排上找了🐮没一个月就抢到了,HPV
4745813409139224,#建议免费为女性接种HPV疫苗#这个真的很重要，希望能成真的,HPV
4745813408874794,#建议免费为女性接种HPV疫苗#举双手双脚支持可是要落实到每一位人民群众身上才行哇愿意自费还总抢不上的真的累了🥱🥱广州,HPV
4745813404943960,#建议免费为女性接种HPV疫苗#还没打上,HPV
4745813350156184,#建议免费为女性接种HPV疫苗#希望落实下来,HPV
4745813345437042,#建议免费为女性接种HPV疫苗#虽然还没确定，但是我先谢谢国家了,HPV
4745813324727631,#建议免费为女性接种HPV疫苗#首先，得有。一直都是供不应求，迫切需要的难道不是想办法增加产量吗？最郁闷的不是没钱接种，而是连预约都约不到哇,HPV
4745813320798190,#建议免费为女性接种HPV疫苗#我真的会谢谢,HPV
4745813282001000,hpv、九价疫苗要是男宝刚需疫苗，早免费八百年了吧咋可能2022了天价不说还一苗难求，需要女的人机大战跟黄牛抢苗冷知识，hpv疫苗是女的打了就有用，跟年龄本身没多大关系，有影响的主要是性生活及性生活开始的时间...全文,HPV
4745813273875989,#建议免费为女性接种HPV疫苗#花💰时候都抢不上，要是免费，我估计我是等不到了。,HPV
4745813266269115,#建议免费为女性接种HPV疫苗#这个苗真的太难预约到了😩,HPV
4745813257357742,#建议免费为女性接种HPV疫苗#我接受建议，尽快实施吧青岛,HPV
4745813240842867,#建议免费为女性接种HPV疫苗#如果能成功，真是造福中国所有女性了！,HPV
4745813232981471,#建议免费为女性接种HPV疫苗#好耶！！,HPV
4745813227736978,#建议免费为女性接种HPV疫苗#免不免费我都无所谓了，恰秒抢我都约不到你说离谱不离谱,HPV
4745813215151708,#建议免费为女性接种HPV疫苗#现在不是免费的问题，重点是约不上呀代表么，严重缺苗，先解决这个问题吧,HPV
4745813182387680,#建议将国产HPV二价疫苗纳入免疫规划#男性为何不可以？天天喊男女平等呢？难道物以稀为贵吗？可笑,HPV
